[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3884591358.92161,02/03/2023,1:09 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1038,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM266,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC261,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI280,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Nb-Y-[Ho8-Er6]_10-TaN,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3884593887.57885,2.00015717744827,9700.3505859375,0.00372603806570116,1.71617496421775E-5,1,2,14.4053468704224,4.99985052236166,34.5899984240532,4.57778034202207,0.715578028317085,10,7.79014715251804E-6,,,,,,,,,,,,,,,,,,,,,1.99999868869782,2.00031566619873,9700.3505859375,9700.3505859375,52.2870397939478,5.93446319807665,2.76185917854309,29,1,0,0,1,0.347137451171875,29.8142719268799,1,1,1,2.00031566619873,0,742397600,2.00015717744827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593899.23104,2.00012075901031,9600.203125,0.00372502402163977,1.69552438012323E-5,1,2,14.4053468704224,4.99987548367507,34.5899984240532,4.57658507948946,0.715266594890965,10,7.68903305444598E-6,,,,,,,,,,,,,,,,,,,,,2.00000429153442,2.00023722648621,9600.203125,9600.203125,52.2487399965055,5.93504807581982,2.7540397644043,29,1,0,0,1,0.34515380859375,32.7468223571777,1,1,1,2.00023722648621,0,742397536,2.00012075901031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593911.99297,1.99995756149292,9500.373046875,0.00370629511549924,1.99352171404669E-5,1,2,14.4053468704224,4.99990614527208,34.5899984240532,4.5543788819144,0.706712281201246,10,3.61123407071124E-6,,,,,,,,,,,,,,,,,,,,,1.9997992515564,2.00011587142944,9500.373046875,9500.373046875,52.2698439665248,5.93494013067753,2.7558479309082,29,1,0,0,1,0.342788696289063,31.2805480957031,1,1,1,1.9997992515564,0,742397664,1.99995756149292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593923.99922,2.00026154518127,9400.3349609375,0.00372383000679349,2.13606756629241E-5,1,2,14.4053468704224,4.99987354719285,34.5899984240532,4.57656105137478,0.705661753085586,10,5.82396716868636E-8,,,,,,,,,,,,,,,,,,,,,2.00017070770264,2.00035238265991,9400.3349609375,9400.3349609375,52.316350863419,5.93457036766648,2.75590062141418,29,1,0,0,1,0.345611572265625,30.3030319213867,1,1,1,2.00035238265991,0,742397728,2.00026154518127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593935.39154,2.00024569034576,9300.3095703125,0.00370290071348487,1.94822335605936E-5,1,2,14.4053468704224,4.99988902077117,34.5899984240532,4.55026995351291,0.705517499062956,10,3.16515031952676E-6,,,,,,,,,,,,,,,,,,,,,2.0001106262207,2.00038075447083,9300.3095703125,9300.3095703125,52.2471767394671,5.93474352884544,2.74776434898376,29,1,0,0,1,0.343551635742188,32.2580642700195,1,1,1,2.00038075447083,0,742397472,2.00024569034576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593948.08717,1.99978631734848,9200.3818359375,0.0036905009074284,1.8235083366993E-5,1,2,14.4053468704224,4.99983061636364,34.6000008285046,4.53545065990545,0.699953181602927,10,5.58638421673247E-7,,,,,,,,,,,,,,,,,,,,,1.99963879585266,1.9999338388443,9200.3818359375,9200.3818359375,52.2291992835248,5.93480554928287,2.75014352798462,29,1,0,0,1,0.347366333007812,33.2355842590332,1,1,1,1.99963879585266,0,742397760,1.99978631734848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593959.90227,1.99986046552658,9100.3076171875,0.00367985072355433,1.71521677715888E-5,1,2,14.4053468704224,4.99982630026086,34.5899984240532,4.51933303015218,0.717544084138224,10,1.65147276158123E-5,,,,,,,,,,,,,,,,,,,,,1.99983406066895,1.99988687038422,9100.3076171875,9100.3076171875,52.2546022103998,5.93374833089623,2.74737739562988,29,1,0,0,1,0.341415405273438,33.7243423461914,1,1,1,1.99983406066895,0,742397152,1.99986046552658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593971.88335,2.00017488002777,9000.318359375,0.00365661935706986,1.38363079260434E-5,1,2,14.4053468704224,4.99988281732866,34.5899984240532,4.49246082538106,0.702723984443069,10,8.02854236909604E-6,,,,,,,,,,,,,,,,,,,,,1.99997806549072,2.00037169456482,9000.318359375,9000.318359375,52.2944652648805,5.93569790015169,2.74160027503967,29,1,0,0,1,0.340805053710937,31.7693061828613,1,1,1,1.99997806549072,0,742397376,2.00017488002777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593984.47584,2.00005167722702,8900.3662109375,0.00367186651554182,1.63791372363991E-5,1,2,14.4053468704224,4.99991350153163,34.5899984240532,4.51619194495363,0.673487834526933,10,-1.8115447795173E-5,,,,,,,,,,,,,,,,,,,,,1.9997044801712,2.00039887428284,8900.3662109375,8900.3662109375,52.3648118316113,5.93395417772511,2.74406695365906,29,1,0,0,1,0.343704223632812,32.7468223571777,1,1,1,1.9997044801712,0,742397536,2.00005167722702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884593996.17537,1.99962812662125,8800.4140625,0.00367004258550606,1.6398257678395E-5,1,2,14.4053468704224,4.99989556135256,34.5899984240532,4.50619490400852,0.723295400135747,10,2.26952830902147E-5,,,,,,,,,,,,,,,,,,,,,1.99953556060791,1.99972069263458,8800.4140625,8800.4140625,52.1318865328805,5.93456611919342,2.74111533164978,29,1,0,0,1,0.342941284179687,31.2805480957031,1,1,1,1.99972069263458,0,742397248,1.99962812662125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884594007.78865,2.00008714199066,8700.2421875,0.00365693726809527,1.59288537873727E-5,1,2,14.4053468704224,4.99982204154643,34.5899984240532,4.49267068767404,0.703451920657704,10,8.5815203813679E-6,,,,,,,,,,,,,,,,,,,,,2.00005221366882,2.0001220703125,8700.2421875,8700.2421875,52.3464435614094,5.93465301062636,2.74363589286804,29,1,0,0,1,0.340957641601562,31.7693061828613,1,1,1,2.0001220703125,0,742397440,2.00008714199066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884594020.30654,2.00010693073273,8600.435546875,0.00364581330164186,1.40431303471997E-5,1,2,14.4053468704224,4.9997987015784,34.5899984240532,4.47722329926459,0.712671917535708,10,1.78024857429316E-5,,,,,,,,,,,,,,,,,,,,,1.99965023994446,2.000563621521,8600.435546875,8600.435546875,52.1455650319671,5.9355151880892,2.73738932609558,29,1,0,0,1,0.343170166015625,32.2580642700195,1,1,1,1.99965023994446,0,742397408,2.00010693073273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884594032.93368,1.99984443187714,8500.2646484375,0.00363612313828141,1.68568562153467E-5,1,2,14.4053468704224,4.99992546045454,34.5899984240532,4.46710023958844,0.700300411463906,10,9.20977562026896E-6,,,,,,,,,,,,,,,,,,,,,1.99963045120239,2.00005841255188,8500.2646484375,8500.2646484375,52.1889454147844,5.93580091740586,2.74093794822693,29,1,0,0,1,0.343246459960937,31.2805480957031,1,1,1,1.99963045120239,0,742397376,1.99984443187714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884594043.69538,1.99985587596893,8400.3359375,0.00361324838318271,1.41583581280801E-5,1,2,14.4053468704224,4.99985906583267,34.5899984240532,4.43561772535712,0.717273295800221,10,2.65574387390192E-5,,,,,,,,,,,,,,,,,,,,,1.99966502189636,2.0000467300415,8400.3359375,8400.3359375,52.2190381127747,5.93450658522837,2.73818159103394,29,1,0,0,1,0.345687866210937,32.2580642700195,1,1,1,1.99966502189636,0,742397664,1.99985587596893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884594055.89927,2.00002020597458,8300.419921875,0.00365245983372643,1.22754319953362E-5,1,2,14.4053468704224,4.999883510942,34.5899984240532,4.49090889784777,0.678850062496614,10,-1.07557716057271E-5,,,,,,,,,,,,,,,,,,,,,1.99987685680389,2.00016355514526,8300.419921875,8300.419921875,52.3749730023613,5.9352987782708,2.73923754692078,29,1,0,0,1,0.343475341796875,31.7693061828613,1,1,1,2.00016355514526,0,742397344,2.00002020597458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884594067.05216,1.99962723255157,8200.4072265625,0.00364209338350006,1.52416373714815E-5,1,2,14.4053468704224,4.99989039215889,34.5899984240532,4.47546785041576,0.694459896753051,10,3.54264090973226E-6,,,,,,,,,,,,,,,,,,,,,1.99953424930573,1.99972021579742,8200.4072265625,8200.4072265625,52.4449287548325,5.93426050856274,2.73707103729248,29,1,0,0,1,0.340347290039063,31.7693061828613,1,1,1,1.99953424930573,0,742397440,1.99962723255157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884594079.78255,1.99996811151505,8100.40576171875,0.00361429322327242,1.64742169739629E-5,1,2,14.4053468704224,4.99988316274051,34.5899984240532,4.43649457777316,0.720310757577909,10,2.88639249840549E-5,,,,,,,,,,,,,,,,,,,,,1.99994051456451,1.99999570846558,8100.40576171875,8100.40576171875,52.3702832312459,5.93467908875984,2.72951483726501,29,1,0,0,1,0.34515380859375,30.7917900085449,1,1,1,1.99999570846558,0,742397568,1.99996811151505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884594091.24684,1.99985146522522,8000.44189453125,0.00360513910951668,1.55335752665114E-5,1,2,14.4053468704224,4.99990731744268,34.5899984240532,4.42982933887746,0.689034133737125,10,4.82262722642008E-6,,,,,,,,,,,,,,,,,,,,,1.99944233894348,2.00026059150696,8000.44189453125,8000.44189453125,52.1948076286786,5.93528071717827,2.73201894760132,29,1,0,0,1,0.346145629882812,33.7243423461914,1,1,1,1.99944233894348,0,742397344,1.99985146522522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884594103.03458,1.99983465671539,7900.15966796875,0.00358877614390694,1.37742863400819E-5,1,2,14.4053468704224,4.99980943367272,34.5899984240532,4.40952371438404,0.686402465679187,10,5.21931291084439E-6,,,,,,,,,,,,,,,,,,,,,1.99976599216461,1.99990332126617,7900.15966796875,7900.15966796875,52.0967132495151,5.93479576057513,2.73225998878479,29,1,0,0,1,0.343093872070313,31.7693061828613,1,1,1,1.99976599216461,0,742397280,1.99983465671539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
