[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3884671344.65497,02/04/2023,11:22 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1038,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM266,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC261,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI280,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Nb-Y-[Ho8-Er6]_10-TaN,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,63.69,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3884675870.12281,51.6587295532227,9.63425254821777,3.90831274167125E-6,6.23730277804136E-9,1,3,14.4053468704224,4.97886738526487,34.5899984240532,0.00477734929119607,0.000722060318626579,1,-1.15798694672636E-8,,,,,,,,,,,,,,,,,,,,,51.6579933166504,51.6594657897949,9.63425254821777,9.63425254821777,52.1717495873613,5.9338794850673,6.7065863609314,43,1,0,0,1,0.337066650390625,31.7693061828613,1,1,1,51.6594657897949,0,742397376,51.6587295532227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884676055.05278,56.6205005645752,9.63425254821777,3.87790773761721E-6,5.74750349815168E-9,1,3,14.4053468704224,4.97883268148406,34.5899984240532,0.00474133351897188,0.000708677674682429,1,-1.78397860978921E-8,,,,,,,,,,,,,,,,,,,,,56.6191673278809,56.6218338012695,9.63425254821777,9.63425254821777,52.1998882140536,5.93359342590311,6.77388334274292,43,1,0,0,1,0.337753295898438,30.3030319213867,1,1,1,56.6218338012695,0,742397536,56.6205005645752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884676240.15234,61.5815372467041,9.63425254821777,3.8831585667075E-6,6.18181566836046E-9,1,3,14.4053468704224,4.9788255925977,34.5899984240532,0.00474741819227211,0.000711749153527064,1,-1.61342447524938E-8,,,,,,,,,,,,,,,,,,,,,61.5800018310547,61.5830726623535,9.63425254821777,9.63425254821777,52.1209437336113,5.93381706552485,6.82672357559204,43,1,0,0,1,0.341262817382812,31.7693061828613,1,1,1,61.5830726623535,0,742397440,61.5815372467041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884676425.62692,66.5413627624512,9.63425254821777,3.8863900329418E-6,6.01521117946611E-9,1,3,14.4053468704224,4.97880581392451,34.5899984240532,0.00474975179944837,0.000722655012267842,1,-7.70299090113056E-9,,,,,,,,,,,,,,,,,,,,,66.5398635864258,66.5428619384766,9.63425254821777,9.63425254821777,52.1307140901017,5.93369728144045,6.86399602890015,43,1,0,0,1,0.340576171875,31.2805480957031,1,1,1,66.5428619384766,0,742397248,66.5413627624512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884676610.65333,71.5022315979004,9.63425254821777,3.91210238959248E-6,6.11048021237684E-9,1,3,14.4053468704224,4.97886500714225,34.6000008285046,0.00478064305565108,0.000731421219043179,1,-4.50215759564086E-9,,,,,,,,,,,,,,,,,,,,,71.5006256103516,71.5038375854492,9.63425254821777,9.63425254821777,52.0990581350728,5.93372233925171,6.90271711349487,43,1,0,0,1,0.338516235351562,31.7693061828613,1,1,1,71.5041809082031,0,742397408,71.5022315979004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884676797.73593,76.4643821716309,9.63425254821777,3.94025710943409E-6,7.06764739589152E-9,1,3,14.4053468704224,4.9788629863473,34.6000008285046,0.00481592888020171,0.000730956783874977,1,-9.22267947123294E-9,,,,,,,,,,,,,,,,,,,,,76.4615783691406,76.4671859741211,9.63425254821777,9.63425254821777,52.0576318235536,5.93503778176841,6.93392276763916,43,1,0,0,1,0.338897705078125,34.7018585205078,1,1,1,76.4671859741211,0,742397504,76.4643821716309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884676986.23316,81.4239196777344,9.63425254821777,3.95465915873178E-6,6.57306983832016E-9,1,3,14.4053468704224,4.97885749135898,34.6000008285046,0.00483396334709131,0.000730778645104074,1,-1.15879847361729E-8,,,,,,,,,,,,,,,,,,,,,81.4209671020508,81.426872253418,9.63425254821777,9.63425254821777,52.0263666827844,5.93490712205424,6.9613356590271,43,1,0,0,1,0.34088134765625,32.7468223571777,1,1,1,81.426872253418,0,742397536,81.4239196777344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884677174.28627,86.3870506286621,9.63425254821777,3.92060631627165E-6,6.63439029256913E-9,1,3,14.4053468704224,4.97881926306752,34.6000008285046,0.00479257257240648,0.000722629608409234,1,-1.30012905726793E-8,,,,,,,,,,,,,,,,,,,,,86.3838806152344,86.3902206420898,9.63425254821777,9.63425254821777,52.077563350794,5.93444322535373,6.98355054855347,43,1,0,0,1,0.340805053710937,30.7917900085449,1,1,1,86.3902206420898,0,742397600,86.3870506286621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884677361.83702,91.3492431640625,9.63425254821777,3.80712373056522E-6,6.3622153218679E-9,1,3,14.4053468704224,4.97872550634993,34.6099995076656,0.00465309400580302,0.000705808707473444,1,-9.25750171073917E-9,,,,,,,,,,,,,,,,,,,,,91.3448944091797,91.3535919189453,9.63425254821777,9.63425254821777,52.1201621050921,5.93382919740153,7.0068998336792,43,1,0,0,1,0.337600708007812,32.2580642700195,1,1,1,91.3535919189453,0,742397824,91.3492431640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884677547.38627,96.3099098205566,9.63425254821777,3.65873652820885E-6,6.80011126986042E-9,1,3,14.4053468704224,4.97875888708336,34.6099995076656,0.0044731087969669,0.000669660582289614,1,-1.59723224870371E-8,,,,,,,,,,,,,,,,,,,,,96.3059997558594,96.3138198852539,9.63425254821777,9.63425254821777,51.9611007014286,5.9343933848181,7.02926063537598,43,1,0,0,1,0.339889526367188,30.3030319213867,1,1,1,96.3138198852539,0,742397728,96.3099098205566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
